,raw_name,label,pre_class_win0,pre_class_win1,pre_class_win2,pre_class_win3,pre_class_win4,pre_class_win5,pre_class_win6,pre_class_win7,pre_class_win8,pre_class_win9,pre_class_win10,pre_class_win11,pre_class_win12,pre_class_win13,pre_class_win14,pre_class_win15,pre_class_win16,pre_class_win17,pre_class_win18,pre_class_win19,pre_class_win20,pre_class_win21,pre_class_win22,pre_class_win23,pre_class_win24,pre_prob_win0,pre_prob_win1,pre_prob_win2,pre_prob_win3,pre_prob_win4,pre_prob_win5,pre_prob_win6,pre_prob_win7,pre_prob_win8,pre_prob_win9,pre_prob_win10,pre_prob_win11,pre_prob_win12,pre_prob_win13,pre_prob_win14,pre_prob_win15,pre_prob_win16,pre_prob_win17,pre_prob_win18,pre_prob_win19,pre_prob_win20,pre_prob_win21,pre_prob_win22,pre_prob_win23,pre_prob_win24,label
20,A20180906sunyt_TPD_DIA_b34_2_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.007841215,0.31773305,0.22288053,0.21365367,0.000185626,0.4361057,0.000102998,0.06254195,0.002470597,2.11E-05,0.009535469,2.49E-05,0.001495957,0.001059031,0.000248654,0.017584214,0.2009333,0.006159571,0.002049978,9.76E-05,1.99E-05,0.000658216,3.00E-05,0.001866267,0.000180737,0
21,C20181001sunyt_TPD_DIA_vb28_1_1_350_1800_M,M,Benign,Benign,Benign,Benign,Malignant,Malignant,Benign,Benign,Malignant,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Malignant,Benign,Malignant,Benign,Benign,Malignant,0.010723516,0.32765797,0.4843125,0.27531898,0.92533165,0.57210994,0.10717568,0.3762618,0.89573765,0.014467121,0.1486901,0.99908626,0.002717285,0.33395377,0.000192555,0.15681776,0.43026862,0.48140457,0.7388845,0.77253085,0.00575604,0.8921573,0.000246375,2.36E-05,0.9996735,1
22,B20180930sunyt_TPD_DIA_vb20_8_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000438549,0.19521782,0.21393691,0.17753854,1.70E-05,0.25255927,0.001579114,0.08067809,0.006766863,3.67E-05,0.144643,0.012485348,0.000922999,0.12607302,0.011812124,0.052465074,0.11882742,0.0097181,0.005597978,1.67E-05,2.03E-05,0.00227577,7.97E-05,2.68E-06,0.008921185,0
23,B20181006sunyt_TPD_DIA_vb34_5_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Malignant,0.29693392,0.06470708,0.30658478,0.24614869,0.001900452,0.33257642,0.000525081,0.43504167,0.0459529,0.31170368,0.032307386,0.21695052,0.74376404,0.20556144,0.16746613,0.06130723,0.45859358,0.30838692,0.9929904,0.001372026,0.000158032,0.029384485,0.41056436,5.90E-06,0.989156,0
24,B20180821sunyt_TPD_DIA_b64_9_1_350_1800_M,M,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.00025872,0.5750568,0.15389529,0.088538505,2.15E-05,0.06827694,5.74E-05,0.06206454,0.035957072,0.000307228,0.001884926,1.65E-05,0.000644018,0.010336841,0.16027573,0.043559797,0.06334636,0.04529848,0.003646011,0.000725455,0.000141511,0.1589071,2.02E-05,3.16E-05,4.33E-05,1
25,A20180906sunyt_TPD_DIA_b34_12_1_350_1800_M,M,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.00056253,0.020406872,0.11977592,0.080581374,1.59E-05,0.056001678,0.04443046,0.3383948,0.005307208,0.000360481,0.004454199,0.68320346,0.023749478,0.105783224,0.005349743,0.017460572,0.579144,0.003354148,0.001959259,9.26E-05,0.000391757,0.004024446,0.000191352,0.018479044,0.000582257,1
26,B20181010sunyt_TPD_DIA_vb10_15_1_350_1800_M,M,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,0.000480441,0.1452303,0.15915476,0.12415107,0.000120775,0.07017434,0.000593146,0.04648013,0.001827877,6.97E-06,0.070963964,3.29E-05,0.000301112,0.006127382,2.00E-05,0.06761146,0.19364008,0.09718909,0.005302705,5.25E-05,1.79E-05,0.9743424,2.00E-05,3.97E-06,7.38E-05,1
27,B20181008sunyt_TPD_DIA_vb31_9_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.150863,0.23966429,0.21566041,0.15092117,1.11E-06,0.10907852,0.001587405,0.045950968,0.010535009,5.79E-05,0.003781447,0.002062496,0.000591592,0.001459525,7.82E-05,0.007535203,0.17317338,0.042400286,0.001348752,1.24E-05,1.10E-05,0.08681267,2.88E-06,0.46715254,4.56E-06,0
28,B20180924sunyt_TPD_DIA_vb8_13_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Malignant,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.010496889,0.15844606,0.28075165,0.24533416,0.003787645,0.26787233,0.004948422,0.07110112,0.002903847,0.000631698,0.029609254,0.006198008,0.010256517,0.001897126,0.001705114,0.0034222,0.61214435,0.04618637,0.1061058,5.83E-05,0.003443393,0.001274235,0.001322729,0.004545305,0.008616689,0
29,B20180616sunyt_TPD_DIA_b45_7_1_350_1800_B,B,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,Benign,0.000761065,0.060895506,0.11433326,0.0383965,1.19E-05,0.027605819,0.001231994,0.007980268,0.000590272,2.53E-05,0.00224555,3.22E-05,0.020304987,0.002777319,4.10E-06,0.005839061,0.07320418,0.010519731,0.006359327,0.000326238,0.000227464,0.000322752,9.16E-06,9.31E-07,0.15888101,0
